country,Country,NY.GDP.MKTP.PP.KD,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN
ZWE,Zimbabwe,85266779554.5421,1.67709591394986,16340822.0,8559888.0
ZMB,Zambia,76129157926.5195,2.79406758723844,20723965.0,10467717.0
PSE,West Bank and Gaza,27694396392.5972,2.39326476511584,5165775.0,2598445.0
VNM,Viet Nam,1359364235987.88,0.671429250652247,100352192.0,51201223.0
VUT,Vanuatu,1030019594.1368,2.32481600892244,320409.0,158611.0
UZB,Uzbekistan,356797075898.787,2.02114614047908,35652307.0,17670093.0
URY,Uruguay,105231267359.7,-0.0835522251458198,3388081.0,1745071.0
USA,United States,24977117771722.8,0.83149318773707,336806231.0,167569583.0
GBR,United Kingdom,3602177989697.14,1.30497972307431,68492000.0,34773417.0
ARE,United Arab Emirates,736377153089.291,3.97717097504667,10483751.0,3772859.0
UKR,Ukraine,561229725741.223,-8.42300777431605,37732836.0,20188500.0
UGA,Uganda,135803286914.102,2.80083228962433,48656601.0,24533989.0
TUV,Tuvalu,57054510.9926258,-1.77710654146662,9816.0,4795.0
TCA,Turks and Caicos Islands,1470915240.12362,0.762674129802692,46198.0,23065.0
TKM,Turkmenistan,131576025873.303,1.83970100027524,7364438.0,3753089.0
TUR,Turkiye,2992310786629.76,0.406389351118662,85325965.0,42719404.0
TUN,Tunisia,154347183057.376,0.666925034776371,12200431.0,6167026.0
TTO,Trinidad and Tobago,42661667327.1124,0.124756950526578,1367510.0,691204.0
TON,Tonga,735360754.384418,-0.424539964766316,104597.0,55007.0
TGO,Togo,26445072845.206,2.33345506489111,9304337.0,4622682.0
TLS,Timor-Leste,5995450725.36276,1.08884743970717,1384286.0,686512.0
THA,Thailand,1519478855208.06,-0.0458651887192549,71702435.0,36752428.0
TZA,Tanzania,233786087616.827,2.90250073555304,66617606.0,33603791.0
TJK,Tajikistan,46466548855.3976,2.01812009749216,10389799.0,5288457.0
SYR,Syrian Arab Republic,98857637916.0933,4.91861526815481,23594623.0,11799042.0
CHE,Switzerland,731508267222.482,1.26498425447772,8888822.0,4474532.0
SWE,Sweden,660254497855.377,0.472717863265105,10536632.0,5230587.0
SUR,Suriname,11961956581.0891,0.914027369002208,628886.0,314537.0
SDN,Sudan,109147290533.351,1.32652175747925,50042791.0,25221195.0
VCT,St. Vincent and the Grenadines,1809450922.35483,-0.711025816110263,101323.0,49658.0
LCA,St. Lucia,4195940247.80877,0.281512532799571,179285.0,90686.0
KNA,St. Kitts and Nevis,1431569920.52305,0.104849849656036,46758.0,24350.0
LKA,Sri Lanka,287030612299.665,-0.651320770103285,22037000.0,11373412.0
ESP,Spain,2288167036933.65,1.17836618688432,48352528.0,24611600.0
ZAF,South Africa,865717339517.612,1.32810094082844,63212384.0,32461907.0
SOM,"Somalia, Fed. Rep.",25732304106.3615,3.07939219638342,18358615.0,9160786.0
SLB,Solomon Islands,1871671644.2971,2.39583243369756,800005.0,390932.0
SVN,Slovenia,101734262434.702,0.396216782960902,2120461.0,1055684.0
SVK,Slovak Republic,214455110281.819,-0.0923148510113108,5426740.0,2777110.0
SXM,Sint Maarten (Dutch part),1990867468.71863,1.43721256242405,42749.0,21915.0
SGP,Singapore,766662339477.273,4.85831607781442,5917648.0,2858818.0
SLE,Sierra Leone,25677197753.3583,2.19524258771884,8460512.0,4241460.0
SYC,Seychelles,3429742537.08762,-0.0876274304874622,119773.0,53680.0
SRB,Serbia,170448763840.928,-0.621120944154492,6623183.0,3477760.0
SEN,Senegal,77819640032.4886,2.38738348832592,18077573.0,8879764.0
SAU,Saudi Arabia,2173214249211.45,4.63821572656175,33702731.0,13260611.0
STP,Sao Tome and Principe,1279325859.25215,1.99754660166419,230871.0,116054.0
SMR,San Marino,2402427595.62567,0.310582221115543,33860.0,17213.0
WSM,Samoa,1599784495.24948,0.649190563116911,216663.0,107591.0
RWA,Rwanda,42742532065.0576,2.1984982050137,13954471.0,7152063.0
RUS,Russian Federation,5835481974159.47,-0.285217600763343,143826130.0,77040679.0
ROU,Romania,764669366594.9,0.0659152146414443,19061062.0,9828615.0
QAT,Qatar,309597694197.248,-0.0489708509014485,2656032.0,756537.0
PRI,Puerto Rico (US),137243719648.029,-0.508879698773044,3203792.0,1694231.0
PRT,Portugal,441831868212.315,1.36912985956796,10578174.0,5539155.0
POL,Poland,1602238212133.11,-0.365658526875775,36687353.0,18908458.0
PHL,Philippines,1137254318494.01,0.810000998681961,114891199.0,57580382.0
PER,Peru,518771469889.674,1.09975320783678,33845617.0,17010174.0
PRY,Paraguay,108316053467.638,1.23021616038983,6844146.0,3411748.0
PNG,Papua New Guinea,43697222882.2109,1.81103162496893,10389635.0,5041654.0
PAN,Panama,159948841558.003,1.30902688797168,4458759.0,2228887.0
PLW,Palau,291183210.455899,-0.180352864081089,17727.0,8172.0
PAK,Pakistan,1341169763803.19,1.54880458608849,247504495.0,121773246.0
OMN,Oman,190830135902.4,6.52704988451128,5049269.0,1914778.0
NOR,Norway,497235674807.157,1.13831142739624,5519601.0,2738460.0
MKD,North Macedonia,42871934382.9185,-0.212923714310977,1827816.0,938871.0
NGA,Nigeria,1787476133276.69,2.09838916935738,227882945.0,112676013.0
NER,Niger,44198776163.979,3.29489175812772,26159867.0,12877706.0
NIC,Nicaragua,51153414573.2492,1.37167812196347,6823613.0,3468026.0
NZL,New Zealand,257443002559.689,2.3012774309073,5200000.0,2616994.0
NLD,Netherlands,1254954481146.74,0.990139686700227,17877117.0,8997851.0
NPL,Nepal,144352357438.712,-0.0700958873206174,29694614.0,15415381.0
NRU,Nauru,146923686.318139,0.625107627709329,11875.0,5827.0
NAM,Namibia,30038887028.2617,2.50947899094054,2963095.0,1515985.0
MMR,Myanmar,290381161330.748,0.698879396261223,54133798.0,27177563.0
MOZ,Mozambique,50865658944.44,2.95358093047219,33635160.0,17327861.0
MAR,Morocco,341388709808.433,1.02195181223548,37712505.0,18689276.0
MNE,Montenegro,16987087121.1508,-0.00994290846928265,623529.0,323484.0
MNG,Mongolia,56474141515.8419,1.3708886685104,3481145.0,1744331.0
MDA,Moldova,39301128261.8663,-2.84274212689094,2457783.0,1326593.0
FSM,"Micronesia, Fed. Sts.",429651924.110799,0.459189928699194,112630.0,56655.0
MEX,Mexico,2843538549187.14,0.872178517508623,129739759.0,66813627.0
MUS,Mauritius,33257728334.3033,-1.1051534726941,1248647.0,624534.0
MRT,Mauritania,31523226434.1734,2.96653079197429,5022441.0,2560475.0
MHL,Marshall Islands,264086293.662562,-3.16867227675357,38827.0,18924.0
MLT,Malta,33396048496.5627,3.99255876861009,552747.0,265910.0
MLI,Mali,67989880923.0316,2.97400537620334,23769127.0,11774460.0
MDV,Maldives,11747049099.1817,0.359585188904548,525994.0,199376.0
MYS,Malaysia,1154168225812.84,1.23402869169549,35126298.0,16716229.0
MWI,Malawi,34807595409.4085,2.57135708610945,21104482.0,10809386.0
MDG,Madagascar,50832553694.3402,2.46201530433165,31195932.0,15549002.0
MAC,"Macao SAR, China",71148557780.7849,0.221222713921319,678800.0,365681.0
LUX,Luxembourg,86668502013.8616,2.02002574712319,666430.0,331083.0
LTU,Lithuania,132551525594.85,1.40084461829591,2871585.0,1517536.0
LBY,Libya,91149766774.4011,1.12674309223491,7305659.0,3591018.0
LBR,Liberia,8881812193.11901,2.20390696065654,5493031.0,2751688.0
LSO,Lesotho,6000187230.49191,1.10328678263994,2311472.0,1185745.0
LBN,Lebanon,65415227251.247,0.503630953855672,5773493.0,2966891.0
LVA,Latvia,70220417185.1967,0.22997050070229,1883710.0,1011196.0
LAO,Lao PDR,64172516512.0818,1.39237667233214,7664993.0,3813122.0
